Date,Category,Amount,Description,Added_By
2025-11-01,Marketing & Advertising,2500,Google Ads - November Campaign,Pranav
2025-11-02,AI/API Costs,450,OpenAI API Usage,System
2025-11-05,Sales & Business Development,800,Sales team commissions,Fazil
2025-11-08,Marketing & Advertising,1800,LinkedIn Sponsored Content,Pranav
2025-11-10,Salaries & Compensation,15000,Developer Salaries,HR
2025-11-12,Software & Tools,200,GitHub Enterprise,IT
2025-11-15,Marketing & Advertising,3200,Content Marketing Agency,Pranav
2025-11-18,AI/API Costs,520,Google Cloud AI Services,System
2025-11-20,Office & Operations,1200,Co-working Space Rent,Admin
2025-11-22,Marketing & Advertising,950,Facebook Ads Campaign,Pranav
2025-10-01,Marketing & Advertising,2200,October Google Ads,Pranav
2025-10-05,AI/API Costs,380,OpenAI API - October,System
2025-10-10,Salaries & Compensation,14500,Developer Salaries,HR
2025-10-15,Sales & Business Development,650,Sales commissions,Fazil
2025-10-20,Software & Tools,180,Various SaaS tools,IT
2025-09-01,Marketing & Advertising,1900,September Marketing,Pranav
2025-09-10,Salaries & Compensation,14000,Developer Salaries,HR
2025-09-15,AI/API Costs,340,AI Services - September,System
2025-08-01,Marketing & Advertising,1600,August Campaigns,Pranav
2025-08-10,Salaries & Compensation,13500,Developer Salaries,HR
2025-11-15,Cloud Infrastructure,450,AWS Hosting,IT
2025-11-18,Professional Services,1500,Legal consultation,Admin
2025-11-20,Training & Development,300,AI certification course,HR
